providerName,resourceType,regionMove
Microsoft.AAD,domainservices,FALSE
Microsoft.AAD,domainservices / replicasets,FALSE
microsoft.aadiam,tenants,FALSE
Microsoft.AlertsManagement,actionrules,FALSE
Microsoft.AnalysisServices,servers,FALSE
Microsoft.ApiManagement,service,TRUE
Microsoft.AppConfiguration,configurationstores,FALSE
Microsoft.AppService,apiapps,FALSE
Microsoft.AppService,appidentities,FALSE
Microsoft.AppService,gateways,FALSE
Microsoft.Authorization,policyassignments,FALSE
Microsoft.Automation,automationaccounts,FALSE
Microsoft.Automation,automationaccounts / configurations,FALSE
Microsoft.Automation,automationaccounts / runbooks,FALSE
Microsoft.AzureActiveDirectory,b2cdirectories,FALSE
Microsoft.AzureData,sqlserverregistrations,FALSE
Microsoft.AzureStack,registrations,FALSE
Microsoft.Batch,batchaccounts,FALSE
Microsoft.BatchAI,clusters,FALSE
Microsoft.BatchAI,fileservers,FALSE
Microsoft.BatchAI,jobs,FALSE
Microsoft.BatchAI,workspaces,FALSE
Microsoft.BingMaps,mapapis,FALSE
Microsoft.BizTalkServices,biztalk,FALSE
Microsoft.Blockchain,blockchainmembers,FALSE
Microsoft.Blockchain,watchers,FALSE
Microsoft.Blueprint,blueprintassignments,FALSE
Microsoft.BotService,botservices,FALSE
Microsoft.Cache,redis,FALSE
Microsoft.Cdn,cdnwebapplicationfirewallpolicies,FALSE
Microsoft.Cdn,profiles,FALSE
Microsoft.Cdn,profiles / endpoints,FALSE
Microsoft.CertificateRegistration,certificateorders,FALSE
Microsoft.ClassicCompute,domainnames,FALSE
Microsoft.ClassicCompute,virtualmachines,FALSE
Microsoft.ClassicNetwork,networksecuritygroups,FALSE
Microsoft.ClassicNetwork,reservedips,FALSE
Microsoft.ClassicNetwork,virtualnetworks,FALSE
Microsoft.ClassicStorage,storageaccounts,TRUE
Microsoft.CognitiveServices,accounts,FALSE
Microsoft.Compute,availabilitysets,FALSE
Microsoft.Compute,diskencryptionsets,FALSE
Microsoft.Compute,disks,FALSE
Microsoft.Compute,galleries,FALSE
Microsoft.Compute,galleries / images,FALSE
Microsoft.Compute,galleries / images / versions,FALSE
Microsoft.Compute,hostgroups,FALSE
Microsoft.Compute,hostgroups / hosts,FALSE
Microsoft.Compute,images,FALSE
Microsoft.Compute,proximityplacementgroups,FALSE
Microsoft.Compute,restorepointcollections,FALSE
Microsoft.Compute,sharedvmimages,FALSE
Microsoft.Compute,sharedvmimages / versions,FALSE
Microsoft.Compute,snapshots,FALSE
Microsoft.Compute,virtualmachines,TRUE
Microsoft.Compute,virtualmachines / extensions,FALSE
Microsoft.Compute,virtualmachinescalesets,FALSE
Microsoft.Container,containergroups,FALSE
Microsoft.ContainerInstance,containergroups,FALSE
